No.,ID,target scope
1,1763244063,IND
2,1763247131,GRP
3,1763254031,IND
4,5019757938,IND
5,5260938822,IND
6,6300637422,ENV
7,8818284931,ENV
8,14697776159,IND
9,25394625586,GRP
10,4.31425E+16,SELF
11,5.22349E+16,IND
12,9.35088E+16,IND
13,9.38768E+16,IND
14,9.48528E+16,IND
15,9.48536E+16,IND
16,9.48634E+16,IND
17,9.78976E+16,ENV
18,9.9008E+16,IND
19,1.00374E+17,IND
20,1.02255E+17,IND
21,1.0847E+17,IND
22,1.08513E+17,IND
23,1.0927E+17,IND
24,1.10647E+17,IND
25,1.11664E+17,IND
26,1.14903E+17,IND
27,1.15538E+17,IND
28,1.18775E+17,IND
29,1.21202E+17,IND
30,1.23667E+17,GRP
31,1.25913E+17,IND
32,1.26284E+17,IND
33,1.26464E+17,ENV
34,1.2652E+17,ENV
35,1.27729E+17,ENV
36,1.28973E+17,GRP
37,1.2898E+17,ENV
38,1.30105E+17,IND
39,1.31679E+17,GRP
40,1.32281E+17,SELF
41,1.33426E+17,IND
42,1.33737E+17,GRP
43,1.34067E+17,GRP
44,1.34167E+17,GRP
45,1.3417E+17,SELF
46,1.36236E+17,ENV
47,1.37848E+17,IND
48,1.39988E+17,SELF
49,1.44007E+17,ENV
50,1.44824E+17,IND
51,1.45571E+17,GRP
52,1.51339E+17,GRP
53,1.52426E+17,IND
54,1.54075E+17,GRP
55,1.55631E+17,SELF
56,1.59555E+17,ENV
57,1.64003E+17,IND
58,1.67972E+17,ENV
59,1.71459E+17,ENV
60,1.71586E+17,SELF
61,1.77453E+17,IND
62,1.77458E+17,GRP
63,1.79783E+17,IND
64,1.79796E+17,GRP
65,1.82565E+17,GRP
66,1.83589E+17,SELF
67,1.84294E+17,ENV
68,1.86176E+17,SELF
69,1.87776E+17,SELF
70,1.8931E+17,GRP
71,1.90087E+17,SELF
72,1.90249E+17,IND
73,1.96211E+17,IND
74,1.96526E+17,IND
75,1.97516E+17,SELF
76,1.99724E+17,IND
77,2.00933E+17,IND
78,2.0337E+17,IND
79,2.05652E+17,IND
80,2.0591E+17,IND
81,2.07522E+17,SELF
82,2.07938E+17,ENV
83,2.09554E+17,GRP
84,2.12727E+17,ENV
85,2.12872E+17,IND
86,2.13248E+17,SELF
87,2.14549E+17,GRP
88,2.14551E+17,ENV
89,2.14625E+17,IND
90,2.17176E+17,SELF
91,2.18752E+17,SELF
92,2.20119E+17,ENV
93,2.21927E+17,ENV
94,2.22162E+17,IND
95,2.23798E+17,IND
96,2.25087E+17,ENV
97,2.25453E+17,IND
98,2.28858E+17,SELF
99,2.31442E+17,IND
100,2.32725E+17,GRP
101,2.32809E+17,IND
102,2.34337E+17,GRP
103,2.36058E+17,SELF
104,2.37709E+17,IND
105,2.37726E+17,IND
106,2.39753E+17,GRP
107,2.42239E+17,GRP
108,2.42965E+17,SELF
109,2.43708E+17,ENV
110,2.45376E+17,IND
111,2.46161E+17,ENV
112,2.466E+17,IND
113,2.48271E+17,SELF
114,2.48786E+17,IND
115,2.50593E+17,ENV
116,2.51336E+17,IND
117,2.51504E+17,ENV
118,2.51885E+17,IND
119,2.52244E+17,IND
120,2.52738E+17,IND
121,2.5317E+17,SELF
122,2.54078E+17,ENV
123,2.5561E+17,IND
124,2.56043E+17,IND
125,2.56514E+17,IND
126,2.57501E+17,GRP
127,2.59224E+17,IND
128,2.61795E+17,ENV
129,2.62105E+17,ENV
130,2.63508E+17,SELF
131,2.65863E+17,IND
132,2.65943E+17,IND
133,2.66341E+17,IND
134,2.66672E+17,IND
135,2.67404E+17,IND
136,2.67501E+17,IND
137,2.68523E+17,IND
138,2.6855E+17,ENV
139,2.73E+17,IND
140,2.74855E+17,IND
141,2.76801E+17,SELF
142,2.76932E+17,ENV
143,2.77066E+17,SELF
144,2.79795E+17,SELF
145,2.80893E+17,IND
146,2.81311E+17,IND
147,2.83955E+17,SELF
148,2.84104E+17,IND
149,2.84877E+17,ENV
150,2.85199E+17,IND
151,2.85337E+17,GRP
152,2.86334E+17,IND
